District;GID_2;NAME_2;GID_1;NAME_1
AMARA;IRQ.15.1_1;Al Amarah;IRQ.15_1;Maysan
BASRAH1;IRQ.2.6_1;Basrah;IRQ.2_1;Al-Basrah
BASRAH2;IRQ.2.6_1;Basrah;IRQ.2_1;Al-Basrah
BASRAH3;IRQ.2.6_1;Basrah;IRQ.2_1;Al-Basrah
ALZUBAIR;IRQ.2.5_1;Al Zubair;IRQ.2_1;Al-Basrah
ALQURNA;IRQ.2.4_1;Al Qurnah;IRQ.2_1;Al-Basrah
ALDEAR;IRQ.2.4_1;Al Qurnah;IRQ.2_1;Al-Basrah
ALMIDAINA;IRQ.2.3_1;Al Madiana;IRQ.2_1;Al-Basrah
ABUALKHASEEB;IRQ.2.1_1;Abu al Khasib;IRQ.2_1;Al-Basrah
ALHARTHA;IRQ.2.6_1;Basrah;IRQ.2_1;Al-Basrah
SHATTALARAB;IRQ.2.7_1;Shatt Al Arab;IRQ.2_1;Al-Basrah
ALSHATRA;IRQ.11.1_1;An Nasiriyah;IRQ.11_1;Dhi-Qar
SUQALSHOYKH;IRQ.11.5_1;Suq ash Shuyukh;IRQ.11_1;Dhi-Qar
QALATSALEH;IRQ.15.6_1;Qal`at Salih;IRQ.15_1;Maysan
KERBALA;IRQ.14.3_1;Karbala;IRQ.14_1;Karbala'
ALMEJAR;IRQ.15.4_1;Al Mijar al Kabir;IRQ.15_1;Maysan
